artist,era,city,sub_city,region
3rd bass,1980s,New York,Queens/Brooklyn,Northeast
beastie boys,1980s,New York,New York City,Northeast
big daddy kane,1980s,New York,Brooklyn,Northeast
biz markie,1980s,New York,Long Island,Northeast
boogie down productions,1980s,New York,Bronx,Northeast
dj jazzy jeff & the fresh prince,1980s,Philadelphia,West Philadelphia,Northeast
dana dane,1980s,New York,Harlem ,Northeast
doug e. fresh,1980s,New York,Harlem,Northeast
epmd,1980s,New York,Brentwood,Northeast
eazy-e,1980s,Los Angeles,Compton,West
eric b. & rakim,1980s,New York,New York City,Northeast
geto boys,1980s,Houston ,Houston ,Southwest
ice cube,1980s,Los Angeles,South Central ,West
ice-t,1980s,Los Angeles,,West
krs-one,1980s,New York,Bronx,Northeast
kool moe dee,1980s,Trenton,,Northeast
kurtis blow,1980s,New York,Harlem/New York City,Northeast
ll cool j ,1980s,New York,Queens,Northeast
mc hammer,1980s,Oakland,,West
mc lyte,1980s,New York,Brooklyn,Northeast
n.w.a. ,1980s,Los Angeles,Compton,West
public enemy,1980s,New York,Long Island,Northeast
run-dmc,1980s,New York,Queens,Northeast
slick rick,1980s,New York,Bronx,Northeast
the 2 live crew,1980s,Miami,,Southeast
the d.o.c.,1980s,Los Angeles,,West
too $hort,1980s,Oakland ,,West
2pac ,1990s ,Oakland ,Harlem,West
a tribe called quest,1990s ,New York,Queens,Northeast
az ,1990s ,New York,Brooklyn,Northeast
arrested development,1990s ,Atlanta,,Southeast
b.g.,1990s ,New Orleans,,Southeast
beanie sigel,1990s ,Philadelphia,South Philadelphia,Northeast
big l,1990s ,New York,Harlem,Northeast
big pun ,1990s ,New York,Bronx,Northeast
black sheep ,1990s ,New York,Queens/Brooklyn,Northeast
bone thugs-n-harmony,1990s ,Cleveland,,Midwest
brand nubian,1990s ,New York,New Rochelle,Northeast
busta rhymes,1990s ,New York,Brooklyn,Northeast
camp lo,1990s ,New York,Bronx,Northeast
chubb rock,1990s ,New York,Brooklyn,Northeast
common ,1990s ,Chicago,,Midwest
coolio ,1990s ,Los Angeles,Compton,West
craig mack,1990s ,New York,Brentwood,Northeast
cypress hill,1990s ,Los Angeles,Southgate,West
dj quik,1990s ,Los Angeles,Compton,West
da brat,1990s ,Chicago,Joliest,West
das efx,1990s ,New York,Brooklyn,Northeast
de la soul,1990s ,New York,Long Island,Northeast
digable planets,1990s ,New York,Brooklyn,Northeast
digital underground,1990s ,Oakland,,West
dr. dre,1990s ,Los Angeles,Compton,West
e-40,1990s ,San Francisco,Vallejo ,West
erick sermon,1990s ,New York,Brentwood,Northeast
fugees,1990s ,Orange,,Northeast
gza,1990s ,New York,Brooklyn,Northeast
gang starr,1990s ,New York,Brooklyn,Northeast
goodie mob,1990s ,Atlanta,,Southeast
grand puba,1990s ,New York,New Rochelle,Northeast
house of pain,1990s ,Los Angeles,,West
jay-z,1990s ,New York,Brooklyn,Northeast
keith murray,1990s ,New York,Central Islip,Northeast
kool g rap,1990s ,New York,Queens,Northeast
krayzie bone,1990s ,Cleveland,,Midwest
kris kross,1990s ,Atlanta,,Southeast
lauryn hill,1990s ,Orange,,Northeast
lords of the underground,1990s ,Newark,,Northeast
lost boyz,1990s ,New York,Queens,Northeast
luniz,1990s ,Oakland,,West
mc eiht,1990s ,Los Angeles,Compton,West
ma$e,1990s ,New York,Harlem,Northeast
mack 10,1990s ,Los Angeles,Inglewood,West
master p,1990s ,New Orleans,,Southeast
method man,1990s ,New York,Long Island,Northeast
mia x,1990s ,New Orleans,,Southeast
mobb deep,1990s ,New York,Queens,Northeast
mystikal,1990s ,New Orleans,,Southeast
nas,1990s ,New York,Brooklyn,Northeast
nate dogg,1990s ,Los Angeles,Long Beach,West
naughty by nature,1990s ,Orange,,Northeast
o.c.,1990s ,New York,Brooklyn,Northeast
ol' dirty bastard,1990s ,New York,Brooklyn,Northeast
onyx,1990s ,New York,Queens,Northeast
outkast,1990s ,Atlanta,East Point,Southeast
p. diddy,1990s ,New York,Mount Vernon,Northeast
pras michel,1990s ,New York,Brooklyn,Northeast
q-tip,1990s ,New York,Queens,Northeast
rza,1990s ,New York,Staten Island,Northeast
raekwon,1990s ,New York,Staten Island,Northeast
redman,1990s ,Newark,,Northeast
salt-n-pepa,1990s ,New York,New York,Northeast
scarface,1990s ,Houston ,,Southwest
silkk the shocker,1990s ,New Orleans,,Southeast
sir mix-a-lot,1990s ,Seattle,,West
snoop dogg ,1990s ,Los Angeles,Long Beach,West
soulja slim,1990s ,New Orleans,,Southeast
tha alkaholiks,1990s ,Los Angeles,,West
tha dogg pound,1990s ,Los Angeles,,West
the beatnuts,1990s ,New York,New York,Northeast
the lox,1990s ,New York,Yonkers,Northeast
the notorious b.i.g.,1990s ,New York,New York,Northeast
the pharcyde,1990s ,Los Angeles,South Central,West
the roots,1990s ,Philadelphia,,Northeast
ugk,1990s ,Port Arthur,,Southwest
vanilla ice,1990s ,Dallas,,Southwest
warren g,1990s ,Los Angeles,Long Beach,West
wu-tang clan ,1990s ,New York,Staten Island,Northeast
wyclef jean,1990s ,Newark,,Northeast
young mc,1990s ,New York,Queens,Northeast
50 cent,2000s,New York,Queens,Northeast
afroman,2000s,Los Angeles,,West
big boi,2000s,Atlanta,,Southeast
big tymers,2000s,New Orleans,,Southeast
birdman,2000s,New Orleans,,Southeast
black rob,2000s,New York,Harlem,Northeast
bow wow,2000s,Columbus,,Midwest
bubba sparxxx,2000s,LaGrange,,Southeast
bun b,2000s,Port Arthur,,Southwest
cam'ron,2000s,New York,Harlem,Northeast
canibus,2000s,New York,Bronx,Northeast
cappadonna,2000s,New York,Staten Island,Northeast
cassidy,2000s,Philadelphia,,Northeast
chamillionaire,2000s,Houston ,,Southwest
chingy,2000s,St. Louis,,Midwest
clipse,2000s,Virginia Beach,,Southeast
crime mob,2000s,Atlanta,,Southeast
d12,2000s,Detroit,,Midwest
dmx,2000s,New York,Yonkers,Northeast
david banner,2000s,Jackson,,Southeast
dilated peoples,2000s,Los Angeles,,West
eminem,2000s,Detroit,,Midwest
eve,2000s,Philadelphia,,Northeast
fabolous,2000s,New York,Brooklyn,Northeast
fat joe,2000s,New York,Bronx,Northeast
field mob,2000s,Albany,,Southeast
flo rida,2000s,Carol City,,Southeast
freeway,2000s,Philadelphia,,Northeast
g-unit,2000s,New York,Queens,Northeast
ghostface killah,2000s,New York,Staten Island,Northeast
gorilla zoe,2000s,Atlanta,,Southeast
gucci mane,2000s,Atlanta,,Southeast
ja rule,2000s,New York,Queens,Northeast
jadakiss,2000s,New York,Yonkers,Northeast
jim jones,2000s,New York,Bronx,Northeast
joe budden,2000s,New York,Harlem,Northeast
juelz santana,2000s,New York,Harlem,Northeast
juicy j,2000s,Memphis,,Southeast
juvenile,2000s,New Orleans,,Southeast
kanye west,2000s,Chicago,,Midwest
kardinal offishall,2000s,Toronto,,Canada
killer mike,2000s,Atlanta,,Southeast
lil jon,2000s,Atlanta,,Southeast
lil kim,2000s,New York,Bedford-Stuyvesant,Northeast
lil scrappy,2000s,Atlanta,,Southeast
lil wayne,2000s,New Orleans,,Southeast
boosie badazz,2000s,Baton Rouge,,Southeast
lil' flip,2000s,Houston ,,Southwest
lloyd banks,2000s,New York,Queens,Northeast
ludacris,2000s,Atlanta,,Southeast
lupe fiasco,2000s,Chicago,,Midwest
memphis bleek,2000s,New York,,Northeast
mike jones,2000s,Houston ,,Southwest
missy elliot,2000s,Portsmouth,,Southeast
mistah f.a.b.,2000s,Oakland,,West
mos def,2000s,New York,Brooklyn,Northeast
murphy lee,2000s,St. Louis,,Midwest
n.o.r.e.,2000s,New York,Queens,Northeast
nappy roots,2000s,Bowling Green,,Southeast
nelly,2000s,St. Louis,,Midwest
oj da juiceman,2000s,Atlanta,,Southeast
obie trice,2000s,Detroit,,Midwest
pastor troy,2000s,Atlanta,,Southeast
paul wall,2000s,Houston ,,Southwest
petey pablo,2000s,Greenville,,Southeast
pharoahe monch,2000s,New York,Queens,Northeast
plies,2000s,Fort Meyers,,Southeast
project pat,2000s,Memphis,,Southeast
ramy ma,2000s,New York,Bronx,Northeast
rocko,2000s,Atlanta,,Southeast
royce da 5'9,2000s,Detroit,,Midwest
shyne,2000s,New York,,Northeast
slim thug,2000s,Houston ,,Southwest
slum village,2000s,Detroit,,Midwest
soulja boy,2000s,Atlanta,,Southeast
styles p,2000s,New York,,Northeast
t-pain,2000s,Tallahassee,,Southeast
t.i.,2000s,Atlanta,,Southeast
talib kweli,2000s,New York,Brooklyn,Northeast
tech n9ne,2000s,Kansas City,,Midwest
the alchemist,2000s,Los Angeles,Beverly Hills,West
the game,2000s,Los Angeles,Compton,West
three 6 mafia,2000s,Memphis,,Southeast
tony yayo,2000s,New York,Queens,Northeast
trick daddy,2000s,Miami,,Southeast
twista,2000s,Chicago,,Midwest
webbie,2000s,Baton Rouge,,Southeast
wiz khalifa,2000s,Pittsburgh,,Northeast
xzibit,2000s,Los Angeles,,West
ying yang twins,2000s,Atlanta,,Southeast
young buck,2000s,Nashville,,Southeast
young dro,2000s,Atlanta,,Southeast
young gunz,2000s,Philadelphia,,Northeast
young jeezy,2000s,Atlanta,,Southeast
youngbloodz,2000s,Atlanta,,Southeast
yung joc,2000s,Atlanta,,Southeast
2 chainz,2010s,Atlanta,College Park,Southeast
a boogie wit da hoodie,2010s,New York,Bronx,Northeast
a$ap ferg,2010s,New York,New York City,Northeast
a$ap rocky,2010s,New York,Harlem,Northeast
ace hood,2010s,Miami,Deerfield Beach,Southeast
action bronson,2010s,New York,Queens,Northeast
b.o.b,2010s,Atlanta,Decatur,Southeast
bankroll fresh,2010s,Atlanta,,Southeast
big k.r.i.t.,2010s,Meridian,,Southeast
big sean,2010s,Detroit,,Midwest
ca$h out,2010s,Atlanta,,Southeast
chance the rapper,2010s,Chicago,,Midwest
chevy woods,2010s,Pittsburgh,,Northeast
chief keef,2010s,Chicago,,Midwest
childish gambino,2010s,Atlanta,Stone Mountain,Southeast
curren$y,2010s,New Orleans,,Southeast
cyhi the prynce,2010s,Atlanta,Stone Mountain,Southeast
d.r.a.m.,2010s,Hampton,,Northeast
dae dae,2010s,Atlanta,,Southeast
danny brown,2010s,Detroit,,Midwest
dej loaf,2010s,Detroit,,Midwest
desiigner,2010s,New York,Brooklyn,Northeast
drake,2010s,Toronto,,Canada
dreezy,2010s,Chicago,,Midwest
earl sweatshirt,2010s,Los Angeles,,West
fetty wap,2010s,Paterson,,Northeast
french montana,2010s,New York,Bronx,Northeast
future,2010s,Atlanta,,Southeast
g-eazy,2010s,Oakland,,West
hoodie allen,2010s,New York,Long Island,Northeast
hopsin,2010s,Los Angeles,Panorama City,West
ilovemakonnen,2010s,Atlanta,,Southeast
iamsu!,2010s,San Francisco,Richmond,West
iggy azalea,2010s,New South Wales,Mullumbimby,Australia
j. cole,2010s,Raleigh,,Southeast
jay rock,2010s,Los Angeles,Watts,West
jidenna,2010s,Wisconsin Rapids,,Midwest
joey bada$$,2010s,New York,Brooklyn,Northeast
k camp,2010s,Atlanta,,Southeast
kyle,2010s,Ventura,,West
kendrick lamar,2010s,Los Angeles,Compton,West
kevin gates,2010s,Baton Rouge,,Southeast
kid cudi,2010s,Cleveland,,Midwest
kid ink,2010s,Los Angeles,,West
king chip,2010s,Cleveland,,Midwest
kirko bangz,2010s,Houston ,,Southwest
kodak black,2010s,Fort Lauderdale,Southeast,Southeast
lil bibby,2010s,Chicago,,Midwest
lil dicky,2010s,Philadelphia,Cheltenham Township,Northeast
lil durk,2010s,Chicago,,Midwest
lil reese,2010s,Chicago,,Midwest
lil uzi vert,2010s,Philadelphia,,Northeast
lil yachty,2010s,Atlanta,,Southeast
logic,2010s,Los Angeles,,West
mac miller,2010s,Pittsburgh,,Northeast
machine gun kelly,2010s,Cleveland,,Midwest
macklemore & ryan lewis,2010s,Seattle,,West
madeintyo,2010s,Atlanta,,Southeast
maino,2010s,New York,New York City,Northeast
meek mill,2010s,Philadelphia,,Northeast
migos,2010s,Atlanta,,Southeast
monty,2010s,Paterson,,Northeast
nav,2010s,Toronto,,Canada
nicki minaj,2010s,New York,Queens,Northeast
nipsey hussle,2010s,Los Angeles,,West
o.t. genasis,2010s,Los Angeles,,West
og maco,2010s,Atlanta,,Southeast
post malone,2010s,Dallas,Grapevine,Southwest
problem,2010s,Los Angeles,Compton,West
pusha t,2010s,Virginia Beach,,Southeast
que,2010s,Atlanta,,Southeast
rae sremmurd,2010s,Tupelo,,Southeast
rich homie quan,2010s,Atlanta,,Southeast
rick ross,2010s,Miami,Carol City,Southeast
roscoe dash,2010s,Atlanta,,Southeast
russ,2010s,Atlanta,,Southeast
sage the gemini,2010s,San Francisco,Fairfield,West
schoolboy q,2010s,Los Angeles,,West
shawty lo,2010s,Atlanta,,Southeast
shy glizzy,2010s,"Washington, D.C.",,Northeast
skeme,2010s,Los Angeles,Inglewood,West
t-wayne,2010s,Houston ,,Southwest
tinie tempah,2010s,London,Plumstead,England
tink,2010s,Chicago,Calumet City,Midwest
towkio,2010s,Chicago,,Midwest
travis porter,2010s,Atlanta,,Southeast
travis scott,2010s,Houston ,,West
trinidad james,2010s,Atlanta,,Southeast
tyga,2010s,Los Angeles,Compton,West
ugly god,2010s,Houston ,,West
waka flocka flame,2010s,Atlanta,Riverdale,Southeast
wale,2010s,"Washington, D.C.",,Northeast
xxxtentacion,2010s,Fort Lauderdale,Pompano Beach,Southeast
yfn lucci,2010s,Atlanta,,Southeast
yg,2010s,Los Angeles,Compton,West
yelawolf,2010s,Gadsden,,Southeast
yo gotti,2010s,Memphis,,Southeast
young chris,2010s,Philadelphia,,Northeast
young dolph,2010s,Memphis,,Southeast
young m.a.,2010s,New York,Brooklyn,Northeast
young thug,2010s,Atlanta,,Southeast
