sub_city,state,country,artist,count
Albany,NY,USA,['field mob'],1
Atlanta,GA,USA,"['arrested development', 'goodie mob', 'kris kross', 'big boi', 'crime mob', 'gorilla zoe', 'gucci mane', 'killer mike', 'lil jon', 'lil scrappy', 'ludacris', 'oj da juiceman', 'pastor troy', 'rocko', 'soulja boy', 't.i.', 'ying yang twins', 'young dro', 'young jeezy', 'youngbloodz', 'yung joc', 'bankroll fresh', 'ca$h out', 'dae dae', 'future', 'ilovemakonnen', 'k camp', 'lil yachty', 'madeintyo', 'migos', 'og maco', 'que', 'rich homie quan', 'roscoe dash', 'russ', 'shawty lo', 'travis porter', 'trinidad james', 'yfn lucci', 'young thug']",40
Baton Rouge,LA,USA,"['boosie badazz', 'webbie', 'kevin gates']",3
Bedford-Stuyvesant,NY,USA,['lil kim'],1
Beverly Hills,CA,USA,['the alchemist'],1
Brentwood,NY,USA,"['epmd', 'craig mack', 'erick sermon']",3
Bronx,NY,USA,"['boogie down productions', 'krs-one', 'slick rick', 'big pun ', 'camp lo', 'canibus', 'fat joe', 'jim jones', 'ramy ma', 'a boogie wit da hoodie', 'french montana']",11
Brooklyn,NY,USA,"['big daddy kane', 'mc lyte', 'az ', 'busta rhymes', 'chubb rock', 'das efx', 'digable planets', 'gza', 'gang starr', 'jay-z', 'nas', 'o.c.', ""ol' dirty bastard"", 'pras michel', 'fabolous', 'mos def', 'talib kweli', 'desiigner', 'joey bada$$', 'young m.a.']",20
Calumet City,IL,USA,['tink'],1
Carol City,FL,USA,"['flo rida', 'rick ross']",2
Central Islip,NY,USA,['keith murray'],1
Cheltenham Township,PA,USA,['lil dicky'],1
Chicago,IL,USA,"['common ', 'kanye west', 'lupe fiasco', 'twista', 'chance the rapper', 'chief keef', 'dreezy', 'lil bibby', 'lil durk', 'lil reese', 'towkio']",11
Cleveland,OH,USA,"['bone thugs-n-harmony', 'krayzie bone', 'kid cudi', 'king chip', 'machine gun kelly']",5
College Park,GA,USA,['2 chainz'],1
Columbus,OH,USA,['bow wow'],1
Compton,CA,USA,"['eazy-e', 'n.w.a. ', 'coolio ', 'dj quik', 'dr. dre', 'mc eiht', 'the game', 'kendrick lamar', 'problem', 'tyga', 'yg']",11
Dallas,TX,USA,['vanilla ice'],1
Decatur,GA,USA,['b.o.b'],1
Deerfield Beach,FL,USA,['ace hood'],1
Detroit,MI,USA,"['d12', 'eminem', 'obie trice', ""royce da 5'9"", 'slum village', 'big sean', 'danny brown', 'dej loaf']",8
East Point,GA,USA,['outkast'],1
Fairfield,CA,USA,['sage the gemini'],1
Fort Lauderdale,FL,USA,['kodak black'],1
Fort Meyers,FL,USA,['plies'],1
