sub_city,state,country,artist,count,lat,long
Albany,NY,USA,['field mob'],1,42.6511674,-73.754968
Atlanta,GA,USA,"['arrested development', 'goodie mob', 'kris kross', 'big boi', 'crime mob', 'gorilla zoe', 'gucci mane', 'killer mike', 'lil jon', 'lil scrappy', 'ludacris', 'oj da juiceman', 'pastor troy', 'rocko', 'soulja boy', 't.i.', 'ying yang twins', 'young dro', 'young jeezy', 'youngbloodz', 'yung joc', 'bankroll fresh', 'ca$h out', 'dae dae', 'future', 'ilovemakonnen', 'k camp', 'lil yachty', 'madeintyo', 'migos', 'og maco', 'que', 'rich homie quan', 'roscoe dash', 'russ', 'shawty lo', 'travis porter', 'trinidad james', 'yfn lucci', 'young thug']",40,33.7490987,-84.3901849
Baton Rouge,LA,USA,"['boosie badazz', 'webbie', 'kevin gates']",3,30.4507462,-91.154551
Bedford-Stuyvesant,NY,USA,['lil kim'],1,40.6834364,-73.9412488
Beverly Hills,CA,USA,['the alchemist'],1,34.0736204,-118.4003563
Brentwood,NY,USA,"['epmd', 'craig mack', 'erick sermon']",3,40.7812093,-73.2462273
Bronx,NY,USA,"['boogie down productions', 'krs-one', 'slick rick', 'big pun ', 'camp lo', 'canibus', 'fat joe', 'jim jones', 'ramy ma', 'a boogie wit da hoodie', 'french montana']",11,40.85703325,-73.83669616
Brooklyn,NY,USA,"['big daddy kane', 'mc lyte', 'az ', 'busta rhymes', 'chubb rock', 'das efx', 'digable planets', 'gza', 'gang starr', 'jay-z', 'nas', 'o.c.', ""ol' dirty bastard"", 'pras michel', 'fabolous', 'mos def', 'talib kweli', 'desiigner', 'joey bada$$', 'young m.a.']",20,40.6501038,-73.9495823
Calumet City,IL,USA,['tink'],1,41.616016,-87.5295837
Carol City,FL,USA,"['flo rida', 'rick ross']",2,25.9406488,-80.2456045
Central Islip,NY,USA,['keith murray'],1,40.7906538,-73.2017811
Cheltenham Township,PA,USA,['lil dicky'],1,40.07795585,-75.13837289
Chicago,IL,USA,"['common ', 'kanye west', 'lupe fiasco', 'twista', 'chance the rapper', 'chief keef', 'dreezy', 'lil bibby', 'lil durk', 'lil reese', 'towkio']",11,41.8755546,-87.6244212
Cleveland,OH,USA,"['bone thugs-n-harmony', 'krayzie bone', 'kid cudi', 'king chip', 'machine gun kelly']",5,41.5051613,-81.6934446
College Park,GA,USA,['2 chainz'],1,33.6534427,-84.4493725
Columbus,OH,USA,['bow wow'],1,39.9622601,-83.0007065
Compton,CA,USA,"['eazy-e', 'n.w.a. ', 'coolio ', 'dj quik', 'dr. dre', 'mc eiht', 'the game', 'kendrick lamar', 'problem', 'tyga', 'yg']",11,33.894927,-118.226624
Dallas,TX,USA,['vanilla ice'],1,32.7762719,-96.7968559
Decatur,GA,USA,['b.o.b'],1,33.7737582,-84.296069
Deerfield Beach,FL,USA,['ace hood'],1,26.318342,-80.0996306
Detroit,MI,USA,"['d12', 'eminem', 'obie trice', ""royce da 5'9"", 'slum village', 'big sean', 'danny brown', 'dej loaf']",8,42.3486635,-83.0567375
East Point,GA,USA,['outkast'],1,33.6795531,-84.4393724
Fairfield,CA,USA,['sage the gemini'],1,38.2493581,-122.0399663
Fort Lauderdale,FL,USA,['kodak black'],1,26.1223084,-80.1433786
Fort Meyers,FL,USA,['plies'],1,38.50726575,-123.190039
Gadsden,AL,USA,['yelawolf'],1,34.010929,-85.9989596
Grapevine,TX,USA,['post malone'],1,32.9342919,-97.0780654
Hampton,VA,USA,['d.r.a.m.'],1,37.0300969,-76.3452057
Harlem,NY,USA,"['dana dane', 'doug e. fresh', 'kurtis blow', 'big l', 'ma$e', 'black rob', ""cam'ron"", 'joe budden', 'juelz santana', 'a$ap rocky']",10,40.8078786,-73.9454154
Houston ,TX,USA,"['geto boys', 'scarface', 'chamillionaire', ""lil' flip"", 'mike jones', 'paul wall', 'slim thug', 'kirko bangz', 't-wayne', 'travis scott', 'ugly god']",11,29.7589382,-95.3676974
Inglewood,CA,USA,"['mack 10', 'skeme']",2,33.96185,-118.3550377
Jackson,MS,USA,['david banner'],1,32.2990384,-90.1847691
Joliet,IL,USA,['da brat'],1,41.5263603,-88.0840212
Kansas City,MO,USA,['tech n9ne'],1,39.0844687,-94.5630298
LaGrange,GA,USA,['bubba sparxxx'],1,33.039291,-85.0313269
Long Beach,CA,USA,"['nate dogg', 'snoop dogg ', 'warren g']",3,33.78538945,-118.1580493
Long Island,NY,USA,"['biz markie', 'public enemy', 'de la soul', 'method man', 'hoodie allen']",5,40.7891,-73.13506
Los Angeles,CA,USA,"['ice-t', 'the d.o.c.', 'house of pain', 'tha alkaholiks', 'tha dogg pound', 'afroman', 'dilated peoples', 'xzibit', 'earl sweatshirt', 'kid ink', 'logic', 'nipsey hussle', 'o.t. genasis', 'schoolboy q']",14,34.14391585,-118.7611438
Louisville,KY,USA,['nappy roots'],1,38.2542376,-85.759407
Memphis,TN,USA,"['juicy j', 'project pat', 'three 6 mafia', 'yo gotti', 'young dolph']",5,35.1490215,-90.0516285
Meridian,MS,USA,['big k.r.i.t.'],1,32.3643098,-88.703656
Miami,FL,USA,"['the 2 live crew', 'trick daddy']",2,25.7742658,-80.1936589
Mount Vernon,NY,USA,['p. diddy'],1,40.9125992,-73.8370786
Mullumbimby,NSW,AU,['iggy azalea'],1,-28.5483333,153.5011111
Nashville,TN,USA,['young buck'],1,36.1622296,-86.7743531
New Orleans,LA,USA,"['b.g.', 'master p', 'mia x', 'mystikal', 'silkk the shocker', 'soulja slim', 'big tymers', 'birdman', 'juvenile', 'lil wayne', 'curren$y']",11,30.03280175,-89.97500545
New Rochelle,NY,USA,"['brand nubian', 'grand puba']",2,40.9115386,-73.7826363
New York,NY,USA,"['salt-n-pepa', 'the beatnuts', 'the notorious b.i.g.', 'memphis bleek', 'shyne', 'styles p']",6,40.7306458,-73.9866136
New York City,NY,USA,"['beastie boys', 'eric b. & rakim', 'a$ap ferg', 'maino']",4,40.7306458,-73.9866136
Newark,NJ,USA,"['lords of the underground', 'redman', 'wyclef jean']",3,40.735657,-74.1723667
Oakland,CA,USA,"['mc hammer', 'too $hort', '2pac ', 'digital underground', 'luniz', 'mistah f.a.b.', 'g-eazy']",7,37.8044557,-122.2713563
Orange,NJ,USA,"['fugees', 'lauryn hill', 'naughty by nature']",3,40.7706562,-74.2326463
Panorama City,CA,USA,['hopsin'],1,34.2242902,-118.4453745
Paterson,NJ,USA,"['fetty wap', 'monty']",2,40.9167654,-74.171811
Philadelphia,PA,USA,"['the roots', 'cassidy', 'eve', 'freeway', 'young gunz', 'lil uzi vert', 'meek mill', 'young chris']",8,39.9524152,-75.1635755
Pittsburgh,PA,USA,"['wiz khalifa', 'chevy woods', 'mac miller']",3,40.4416941,-79.9900861
Pompano Beach,FL,USA,['xxxtentacion'],1,26.2378597,-80.1247667
Port Arthur,TX,USA,"['ugk', 'bun b']",2,29.8988258,-93.9287815
Portsmouth,VA,USA,['missy elliot'],1,36.8354258,-76.2982742
Queens,NY,USA,"['3rd bass', 'll cool j ', 'run-dmc', 'a tribe called quest', 'black sheep ', 'kool g rap', 'lost boyz', 'mobb deep', 'onyx', 'q-tip', 'young mc', '50 cent', 'g-unit', 'ja rule', 'lloyd banks', 'n.o.r.e.', 'pharoahe monch', 'tony yayo', 'action bronson', 'nicki minaj']",20,40.6524927,-73.79142142
Raleigh,NC,USA,['j. cole'],1,35.7803977,-78.6390989
Richmond,CA,USA,['iamsu!'],1,37.9357576,-122.3477486
Riverdale,GA,USA,['waka flocka flame'],1,33.5726113,-84.4132594
Seattle,WA,USA,"['sir mix-a-lot', 'macklemore & ryan lewis']",2,47.6038321,-122.3300624
Snow Hill,NC,USA,['petey pablo'],1,35.9601194,-82.1398438
South Los Angeles,CA,USA,['the pharcyde'],1,33.9275152,-118.2781288
South Los Angeles,CA,USA,['ice cube'],1,33.9275152,-118.2781288
South Philadelphia,PA,USA,['beanie sigel'],1,39.9125995,-75.16679029
Southgate,CA,USA,['cypress hill'],1,37.4333295,-122.1512119
St. Louis,MO,USA,"['chingy', 'murphy lee', 'nelly']",3,38.6272733,-90.1978889
Staten Island,NY,USA,"['rza', 'raekwon', 'wu-tang clan ', 'cappadonna', 'ghostface killah']",5,40.5834557,-74.1496048
Stone Mountain,GA,USA,"['childish gambino', 'cyhi the prynce']",2,33.8062166,-84.1457505
Tallahassee,FL,USA,['t-pain'],1,30.4380832,-84.2809332
Toronto,ON,USA,"['kardinal offishall', 'drake', 'nav']",3,39.7817032,-87.4955747
Trenton,NJ,USA,['kool moe dee'],1,40.2170575,-74.7429463
Tupelo,MS,USA,['rae sremmurd'],1,34.2576067,-88.7033859
Vallejo ,CA,USA,['e-40'],1,38.1040864,-122.2566367
Ventura,CA,USA,['kyle'],1,34.343649,-119.295171
Virginia Beach,VA,USA,"['clipse', 'pusha t']",2,36.8529841,-75.9774183
"Washington, DC","Washington, D.C.",USA,"['shy glizzy', 'wale']",2,38.8949549,-77.0366456
Watts,CA,USA,['jay rock'],1,33.9405674,-118.2428485
Philadelphia,PA,USA,['dj jazzy jeff & the fresh prince'],1,39.9524152,-75.1635755
Wisconsin Rapids,WI,USA,['jidenna'],1,44.3917589,-89.8228767
Yonkers,NY,USA,"['the lox', 'dmx', 'jadakiss']",3,40.9312099,-73.8987469
